tconst,plot,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,label
tt0369610,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",movie,Jurassic World,Jurassic World,0,2015.0,,124.0,"Action,Adventure,Sci-Fi",6.9,697987.0,0
tt0420293,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015.0,,122.0,"Biography,Drama,History",6.8,47080.0,0
tt0437086,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",movie,Alita: Battle Angel,Alita: Battle Angel,0,2019.0,,122.0,"Action,Adventure,Sci-Fi",7.3,309194.0,0
tt0441881,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",movie,Danger Close,Danger Close: The Battle of Long Tan,0,2019.0,,118.0,"Action,Drama,War",6.8,15750.0,0
tt0451272,"A fast moving, funny and ultimately tragic European road movie about two hedonistic outlaws and their quest to open up a coffeeshop in Amsterdam.",movie,Nefarious,Nefarious,0,2024.0,,85.0,"Crime,Thriller",7.0,52.0,0
tt0490215,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",movie,Silence,Silence,0,2016.0,,161.0,"Drama,History",7.2,126823.0,0
tt0493405,An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked cops.,movie,CHIPS,CHIPS,0,2017.0,,100.0,"Action,Comedy,Crime",6.0,52314.0,0
tt0810819,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,movie,The Danish Girl,The Danish Girl,0,2015.0,,119.0,"Biography,Drama",7.1,202856.0,1
tt0859635,"When a border dispute arises between the U.S. and Canada, the Super Troopers are tasked with establishing a Highway Patrol station in the disputed area.",movie,Super Troopers 2,Super Troopers 2,0,2018.0,,99.0,"Comedy,Crime,Mystery",6.0,28966.0,0
tt0972544,"In 1993, Harley's dad is shot dead and his mom goes to prison. He has to earn money and look after his 3 kid sisters. No college. Over 2 years, family secrets are slowly revealed. Will a good therapist be enough?",movie,Back Roads,Back Roads,0,2018.0,,101.0,"Crime,Drama,Thriller",6.3,5706.0,0
