tconst,plot,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,label
tt0293429,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,movie,Mortal Kombat,Mortal Kombat,0,2021.0,,110.0,"Action,Adventure,Fantasy",6.0,195722.0,1
tt0305811,"Matru Devo Bhava is 1988 Indian telugu film directed by N S Dhananjaya and produced by Jai Jagadish & Srinivasamurthy. The film stars Srinivasamurthy, Jayanthi, Jay Jagdish & Thara. The music of the film was composed by Hamsalekha. Watch the full movie Mathrudevobhava online, only on Eros Now.",movie,Mathru Devo Bhava,Mathru Devo Bhava,0,2015.0,,140.0,Drama,8.1,160.0,-1
tt0315642,A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,movie,Wazir,Wazir,0,2016.0,,103.0,"Crime,Drama,Mystery",7.1,20345.0,-1
tt0369610,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",movie,Jurassic World,Jurassic World,0,2015.0,,124.0,"Action,Adventure,Sci-Fi",6.9,697987.0,0
tt0385887,"In 1950s New York, Lionel, a private detective with Tourette syndrome, sets out to uncover the mystery behind his mentor and only friend Frank's murder. Scouring the jazz clubs and slums of Brooklyn, he soon uncovers a web of secrets.",movie,Motherless Brooklyn,Motherless Brooklyn,0,2019.0,,144.0,"Crime,Drama,Mystery",6.8,64511.0,1
tt0420293,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",movie,The Stanford Prison Experiment,The Stanford Prison Experiment,0,2015.0,,122.0,"Biography,Drama,History",6.8,47080.0,0
tt0437086,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",movie,Alita: Battle Angel,Alita: Battle Angel,0,2019.0,,122.0,"Action,Adventure,Sci-Fi",7.3,309194.0,0
tt0441881,"In August 1966, in a Vietnamese rubber plantation called Long Tan, 108 young and inexperienced Australian and New Zealand soldiers are fighting for their lives against 2500 North Vietnamese and Viet Cong soldiers.",movie,Danger Close,Danger Close: The Battle of Long Tan,0,2019.0,,118.0,"Action,Drama,War",6.8,15750.0,0
tt0448115,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,movie,Shazam!,Shazam!,0,2019.0,,132.0,"Action,Adventure,Comedy",7.0,397728.0,-1
tt0451272,"A fast moving, funny and ultimately tragic European road movie about two hedonistic outlaws and their quest to open up a coffeeshop in Amsterdam.",movie,Nefarious,Nefarious,0,2024.0,,85.0,"Crime,Thriller",7.0,52.0,0
tt0490215,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",movie,Silence,Silence,0,2016.0,,161.0,"Drama,History",7.2,126823.0,0
tt0493405,An inexperienced rookie is teamed up with a hardened pro at the California Highway Patrol in Los Angeles; the newbie officer soon learns his partner is really an undercover Fed investigating a heist which may involve some crooked cops.,movie,CHIPS,CHIPS,0,2017.0,,100.0,"Action,Comedy,Crime",6.0,52314.0,0
tt0783640,"Thirty-four years after his death, Airman William H. ""Pits"" Pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.",movie,The Last Full Measure,The Last Full Measure,0,2019.0,,116.0,"Drama,War",6.8,14675.0,-1
tt0800325,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",movie,The Dirt,The Dirt,0,2019.0,,107.0,"Biography,Comedy,Drama",7.0,57707.0,-1
