show_id,type,title,date_added,release_year,rating,duration,description
s9,Movie,706,"April 1, 2019",2019,TV-14,118 min,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
s10,Movie,1920,"December 15, 2017",2008,TV-MA,143 min,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
s19,Movie,15-Aug,"March 29, 2019",2019,TV-14,124 min,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
s21,Movie,​​Kuch Bheege Alfaaz,"September 1, 2018",2018,TV-14,110 min,"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
s22,Movie,​Goli Soda 2,"September 15, 2018",2018,TV-14,128 min,"A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
s23,Movie,​Maj Rati ​​Keteki,"September 15, 2018",2017,TV-14,117 min,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
s24,Movie,​Mayurakshi,"September 15, 2018",2017,TV-14,100 min,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
s60,Movie,1000 Rupee Note,"December 1, 2016",2014,TV-14,89 min,"After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
s79,Movie,2 States,"August 4, 2018",2014,TV-PG,143 min,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
s91,Movie,25 Kille,"October 1, 2018",2016,TV-14,140 min,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
s101,Movie,3 Idiots,"August 1, 2019",2009,PG-13,164 min,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
s130,Movie,6-5=2,"November 1, 2017",2014,TV-MA,103 min,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
s133,TV Show,7 (Seven),"July 30, 2019",2019,TV-14,1 Season,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
s137,Movie,7 Khoon Maaf,"August 2, 2018",2011,TV-MA,148 min,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men – only to find them flawed."
s144,Movie,90 ML,"August 13, 2019",2019,TV-MA,123 min,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
