tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0003442	movie	Tess of the D'Urbervilles	Tess of the D'Urbervilles	0	1913	\N	\N	Drama,Romance
tt0003888	movie	The Envoy Extraordinary	The Envoy Extraordinary	0	1914	\N	\N	Drama
tt0004972	movie	The Birth of a Nation	The Birth of a Nation	0	1915	\N	195	Drama,War
tt0006182	movie	Trilby	Trilby	0	1915	\N	59	Drama
tt0006864	movie	Intolerance	Intolerance: Love's Struggle Throughout the Ages	0	1916	\N	163	Drama,History
tt0007831	movie	Cupid by Proxy	Cupid by Proxy	0	1918	\N	\N	Comedy,Drama
tt0007857	movie	The Devil-Stone	The Devil-Stone	0	1917	\N	60	Crime,Drama,Mystery
tt0007963	movie	The Foolish Virgin	The Foolish Virgin	0	1916	\N	50	Drama
tt0007995	movie	The Gentle Intruder	The Gentle Intruder	0	1917	\N	\N	Drama
tt0008239	movie	The Mad Lover	The Mad Lover	0	1917	\N	50	Drama
tt0008272	movie	The Marriage Market	The Marriage Market	0	1917	\N	50	Crime,Drama
tt0008416	movie	Peace on Earth	Pax æterna	0	1917	\N	82	War
tt0008563	movie	The Seven Swans	The Seven Swans	0	1917	\N	50	Fantasy,Romance
tt0008891	movie	The Blue Bird	The Blue Bird	0	1918	\N	75	Family,Fantasy
tt0009111	movie	The Girl with the Champagne Eyes	The Girl with the Champagne Eyes	0	1918	\N	50	Drama
tt0010386	movie	The Lost Battalion	The Lost Battalion	0	1919	\N	70	Drama,History,War
tt0010795	movie	The Trail of the Octopus	The Trail of the Octopus	0	1919	\N	300	Action,Mystery,Thriller
tt0010994	movie	Billions	Billions	0	1920	\N	60	Comedy
tt0010995	movie	Black Is White	Black Is White	0	1920	\N	60	Drama
tt0011252	movie	The Gray Wolf's Ghost	The Gray Wolf's Ghost	0	1919	\N	50	Drama,Western
tt0011812	movie	The Vanishing Dagger	The Vanishing Dagger	0	1920	\N	\N	Adventure
tt0011960	movie	The Wildcat	Die Bergkatze	0	1921	\N	79	Comedy,Drama,Romance
tt0011965	movie	Bhakta Vidur	Bhakta Vidur	0	1922	\N	\N	Drama
tt0011971	movie	Bilet Ferat	Bilet Ferat	0	1921	\N	\N	Comedy
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	Comedy,Drama,Family
tt0012938	movie	Beyond the Rocks	Beyond the Rocks	0	1922	\N	80	Drama,Romance
tt0012979	movie	Broadway Rose	Broadway Rose	0	1922	\N	60	Drama,Romance
tt0013201	movie	Grandma's Boy	Grandma's Boy	0	1922	\N	60	Comedy,Family
tt0013257	movie	Häxan	Häxan	0	1922	\N	91	Documentary,Fantasy,Horror
tt0013442	movie	Nosferatu: A Symphony of Horror	Nosferatu, eine Symphonie des Grauens	0	1922	\N	94	Fantasy,Horror
tt0013568	movie	Sadhu Aur Shaitan	Sadhu Aur Shaitan	0	1922	\N	155	Comedy
tt0013571	movie	Salomé	Salomé	0	1922	\N	72	Biography,Drama,History
tt0013648	movie	The Super Sex	The Super Sex	0	1922	\N	60	Comedy,Romance
tt0013674	movie	The Three Must-Get-Theres	The Three Must-Get-Theres	0	1922	\N	58	Action,Adventure,Comedy
tt0013688	movie	The Toll of the Sea	The Toll of the Sea	0	1922	\N	54	Drama,Family,Fantasy
tt0013710	movie	Trifling Women	Trifling Women	0	1922	\N	90	Drama,Romance
tt0013928	movie	The Clean-Up	The Clean-Up	0	1923	\N	50	Comedy
tt0013966	movie	The Dancer of the Nile	The Dancer of the Nile	0	1923	\N	60	Drama,Romance
tt0014118	movie	The Haunted Valley	The Haunted Valley	0	1923	\N	\N	Adventure,Mystery,Thriller
tt0014142	movie	The Hunchback of Notre Dame	The Hunchback of Notre Dame	0	1923	\N	133	Drama,Horror,Romance
tt0014341	movie	Our Hospitality	Our Hospitality	0	1923	\N	65	Comedy,Romance,Thriller
tt0014408	movie	Richard the Lion-Hearted	Richard the Lion-Hearted	0	1923	\N	80	Drama
tt0014532	movie	The Ten Commandments	The Ten Commandments	0	1923	\N	136	Biography,Drama,History
tt0014898	movie	Whirlpool of Fate	La fille de l'eau	0	1925	\N	71	Drama,Romance
tt0015014	movie	L'inhumaine	L'inhumaine	0	1924	\N	135	Drama,Mystery,Romance
tt0015016	movie	The Iron Horse	The Iron Horse	0	1924	\N	150	Drama,History,Romance
tt0015035	movie	Kanya Vikraya	Kanya Vikraya	0	1924	\N	\N	\N
tt0015064	movie	The Last Laugh	Der letzte Mann	0	1924	\N	90	Drama
tt0015123	movie	The Mask of Lopez	The Mask of Lopez	0	1924	\N	50	Drama,Western
tt0015303	movie	Sanyasi	Sanyasi	0	1924	\N	\N	\N
tt0015321	movie	Shahjehan	Shahjehan	0	1924	\N	\N	History
tt0015324	movie	Sherlock Jr.	Sherlock Jr.	0	1924	\N	45	Action,Comedy,Romance
tt0015359	movie	Sporting Youth	Sporting Youth	0	1924	\N	70	Action,Comedy,Romance
tt0015361	movie	Strike	Stachka	0	1925	\N	82	Drama
