tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres					
tt0111596	movie	Vazir	Vazir	0	2015	\N	\N	Action	Crime	Drama		503	543
tt0118141	movie	What Is It?	What Is It?	0	2005	\N	72	Drama				984	55
tt0119970	movie	My Apocalypse	Quality Time	0	2008	\N	82	Comedy	Drama	Sci-Fi		650	2
tt0120667	movie	Fantastic Four	Fantastic Four	0	2005	\N	106	Action	Adventure	Fantasy		2137	600
tt0121164	movie	Corpse Bride	Corpse Bride	0	2005	\N	77	Animation	Comedy	Drama		Romance	Biography
tt0121766	movie	Star Wars: Episode III - Revenge of the Sith	Star Wars: Episode III - Revenge of the Sith	0	2005	\N	140	Action	Adventure	Fantasy		2020-2024	2020-2024
tt0143558	movie	Father's Acre	Apaföld	0	2009	\N	85	Drama					
tt0164115	movie	Nine Ball	Nine Ball	0	2023	\N	85	Drama	Fantasy				
tt0200465	movie	The Bank Job	The Bank Job	0	2008	\N	111	Crime	Thriller			2881	177
tt0205380	movie	Sanam Teri Kasam	Sanam Teri Kasam	0	2009	\N	170	Action	Drama	Romance		1534	9
tt0206634	movie	Children of Men	Children of Men	0	2006	\N	109	Drama	Sci-Fi	Thriller		2153	1346
tt0211933	movie	Awake	Awake	0	2007	\N	84	Crime	Drama	Mystery		6568	1532
tt0216584	movie	Bob the Butler	Bob the Butler	0	2005	\N	90	Comedy	Family				
tt0219171	movie	Ripley Under Ground	Ripley Under Ground	0	2005	\N	101	Crime	Drama	Thriller			
tt0222167	movie	Lucky 13	Lucky 13	0	2005	\N	95	Comedy	Romance				
tt0240021	movie	Speaking Tree	Speaking Tree	0	2007	\N	65	Documentary					
tt0240200	movie	Water	Water	0	2005	\N	117	Drama					
tt0244158	movie	Radha Krishna	Radha Krishna	0	2020	\N	154	Drama					
tt0249516	movie	Foodfight!	Foodfight!	0	2012	\N	91	Action	Adventure	Animation			
tt0257516	movie	Cursed	Cursed	0	2005	\N	97	Comedy	Horror	Mystery			
tt0259324	movie	Ghost Rider	Ghost Rider	0	2007	\N	110	Action	Fantasy	Thriller			
tt0259822	movie	0.45	0.45	0	2006	\N	101	Crime	Drama	Thriller			
tt0261660	movie	Dongalunnaru Jagratha	Dongalunnaru Jagratha	0	2017	\N	\N	\N					
tt0264323	movie	2001 Maniacs	2001 Maniacs	0	2005	\N	87	Comedy	Horror				
tt0285175	movie	Havoc	Havoc	0	2005	\N	85	Crime	Drama				
tt0290747	movie	Man-Thing	Man-Thing	0	2005	\N	97	Action	Adventure	Horror			
tt0292963	movie	Before the Devil Knows You're Dead	Before the Devil Knows You're Dead	0	2007	\N	117	Crime	Drama	Thriller			
tt0293429	movie	Mortal Kombat	Mortal Kombat	0	2021	\N	110	Action	Adventure	Fantasy			
tt0293564	movie	Rush Hour 3	Rush Hour 3	0	2007	\N	91	Action	Comedy	Crime			
tt0294870	movie	Rent	Rent	0	2005	\N	135	Drama	Musical	Romance			
tt0305811	movie	Mathru Devo Bhava	Mathru Devo Bhava	0	2015	\N	140	Drama					
tt0308055	movie	Bobby	Bobby	0	2006	\N	117	Biography	Drama	History			
tt0312004	movie	Wallace & Gromit: The Curse of the Were-Rabbit	The Curse of the Were-Rabbit	0	2005	\N	85	Adventure	Animation	Comedy			
tt0314186	movie	Humko Tumse Pyaar Hai	Humko Tumse Pyaar Hai	0	2006	\N	128	Drama	Romance				
tt0315642	movie	Wazir	Wazir	0	2016	\N	103	Crime	Drama	Mystery			
tt0317219	movie	Cars	Cars	0	2006	\N	116	Adventure	Animation	Comedy			
tt0317919	movie	Mission: Impossible III	Mission: Impossible III	0	2006	\N	126	Action	Adventure	Thriller			
tt0318081	movie	A Sound of Thunder	A Sound of Thunder	0	2005	\N	110	Action	Adventure	Horror			
tt0318649	movie	Sahara	Sahara	0	2005	\N	124	Action	Adventure	Comedy			
tt0320661	movie	Kingdom of Heaven	Kingdom of Heaven	0	2005	\N	144	Action	Adventure	Drama			
tt0323120	movie	Loving Annabelle	Loving Annabelle	0	2006	\N	77	Drama	Romance				
tt0326716	movie	5-25-77	5-25-77	0	2008	\N	132	Comedy	Drama				
tt0326905	movie	The Great Raid	The Great Raid	0	2005	\N	132	Action	Drama	War			
tt0327084	movie	Over the Hedge	Over the Hedge	0	2006	\N	83	Adventure	Animation	Comedy			
tt0327597	movie	Coraline	Coraline	0	2009	\N	100	Animation	Drama	Family			
tt0327643	movie	Dirty Love	Dirty Love	0	2005	\N	91	Comedy	Romance				
tt0327785	movie	The Killer's Game	The Killer's Game	0	2024	\N	104	Action	Comedy	Thriller			
tt0328503	movie	Taj Mahal: An Eternal Love Story	Taj Mahal: An Eternal Love Story	0	2005	\N	164	Drama	History	Musical			
tt0329354	movie	Marigold	Marigold	0	2007	\N	110	Comedy	Music	Romance			
tt0329774	movie	xXx: State of the Union	xXx: State of the Union	0	2005	\N	101	Action	Adventure	Crime			
tt0330373	movie	Harry Potter and the Goblet of Fire	Harry Potter and the Goblet of Fire	0	2005	\N	157	Adventure	Family	Fantasy			
tt0331933	movie	Man of the House	Man of the House	0	2005	\N	100	Comedy	Crime				
tt0332047	movie	Fever Pitch	Fever Pitch	0	2005	\N	104	Comedy	Drama	Romance			
tt0337573	movie	Antibodies	Antikörper	0	2005	\N	127	Crime	Drama	Horror			
tt0337692	movie	On the Road	On the Road	0	2012	\N	124	Adventure	Drama	Romance			
tt0337978	movie	Live Free or Die Hard	Live Free or Die Hard	0	2007	\N	128	Action	Thriller				
tt0338216	movie	Lucky You	Lucky You	0	2007	\N	124	Drama	Romance	Sport			
tt0340163	movie	Hostage	Hostage	0	2005	\N	113	Action	Crime	Drama			
tt0342258	movie	Unleashed	Unleashed	0	2005	\N	103	Action	Crime	Thriller			
tt0342735	movie	Manderlay	Manderlay	0	2005	\N	133	Drama					
tt0343737	movie	The Good Shepherd	The Good Shepherd	0	2006	\N	167	Drama	History	Thriller			
tt0344854	movie	Arthur and the Invisibles	Arthur et les Minimoys	0	2006	\N	94	Adventure	Animation	Comedy			
tt0346172	movie	Zamaanat: And Justice for All	Zamaanat: And Justice for All	0	2025	\N	\N	Drama	Family	Mystery			
tt0346457	movie	Mangal Pandey	Mangal Pandey: The Rising	0	2005	\N	150	Biography	Drama	History			
tt0346631	movie	Blood and Bone	Blood and Bone	0	2009	\N	93	Action	Crime	Drama			
tt0348150	movie	Superman Returns	Superman Returns	0	2006	\N	154	Action	Adventure	Sci-Fi			
tt0348333	movie	Waiting...	Waiting...	0	2005	\N	94	Comedy					
tt0348505	movie	Asylum	Asylum	0	2005	\N	99	Drama	Romance	Thriller			
tt0349467	movie	Freedomland	Freedomland	0	2006	\N	113	Crime	Drama	Mystery			
tt0349878	movie	Netaji Subhas Chandra Bose: The Forgotten Hero	Netaji Subhas Chandra Bose: The Forgotten Hero	0	2005	\N	208	Biography	Drama	History			
tt0350261	movie	An Unfinished Life	An Unfinished Life	0	2005	\N	108	Drama	Family	Romance			
tt0350374	movie	Zwarte zwanen	Zwarte zwanen	0	2005	\N	95	Drama					
tt0351283	movie	Madagascar	Madagascar	0	2005	\N	86	Adventure	Animation	Comedy			
tt0352248	movie	Cinderella Man	Cinderella Man	0	2005	\N	144	Biography	Drama	Romance			
tt0353324	movie	The Crow: Wicked Prayer	The Crow: Wicked Prayer	0	2005	\N	99	Action	Adventure	Comedy			
tt0353515	movie	Greece: Secrets of the Past	Greece: Secrets of the Past	0	2006	\N	45	Documentary					
tt0353974	movie	Sanatta: The Silence	Sanatta: The Silence	0	2025	\N	\N	\N					
tt0354131	movie	Year One	Year One	0	2006	\N	\N	Action	Adventure	Drama			
tt0354142	movie	Upside Downtown	Upside Downtown	0	2005	\N	\N	Crime	Horror	Mystery			
tt0354704	movie	Life on Mars	Life on Mars	0	2006	\N	85	Comedy					
tt0354899	movie	The Science of Sleep	La science des rêves	0	2006	\N	105	Comedy	Drama	Fantasy			
tt0355295	movie	The Brothers Grimm	The Brothers Grimm	0	2005	\N	118	Action	Adventure	Comedy			
tt0355702	movie	Lords of Dogtown	Lords of Dogtown	0	2005	\N	107	Biography	Drama	Sport			
