tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0111596	movie	Vazir	Vazir	0	2015.0	\N	\N	Action,Crime,Drama
tt0164115	movie	Nine Ball	Nine Ball	0	2023.0	\N	85	Drama,Fantasy
tt0244158	movie	Radha Krishna	Radha Krishna	0	2020.0	\N	154	Drama
tt0261660	movie	Dongalunnaru Jagratha	Dongalunnaru Jagratha	0	2017.0	\N	\N	\N
tt0293429	movie	Mortal Kombat	Mortal Kombat	0	2021.0	\N	110	Action,Adventure,Fantasy
tt0305811	movie	Mathru Devo Bhava	Mathru Devo Bhava	0	2015.0	\N	140	Drama
tt0315642	movie	Wazir	Wazir	0	2016.0	\N	103	Crime,Drama,Mystery
tt0327785	movie	The Killer's Game	The Killer's Game	0	2024.0	\N	104	Action,Comedy,Thriller
tt0346172	movie	Zamaanat: And Justice for All	Zamaanat: And Justice for All	0	2025.0	\N	\N	Drama,Family,Mystery
tt0353974	movie	Sanatta: The Silence	Sanatta: The Silence	0	2025.0	\N	\N	\N
tt0360556	movie	Fahrenheit 451	Fahrenheit 451	0	2018.0	\N	100	Drama,Sci-Fi,Thriller
tt0364201	movie	Aman Ke Farishtey	Aman Ke Farishtey	0	2016.0	\N	137	Action
tt0369610	movie	Jurassic World	Jurassic World	0	2015.0	\N	124	Action,Adventure,Sci-Fi
tt0376479	movie	American Pastoral	American Pastoral	0	2016.0	\N	108	Crime,Drama,Mystery
tt0385887	movie	Motherless Brooklyn	Motherless Brooklyn	0	2019.0	\N	144	Crime,Drama,Mystery
tt0389717	movie	1990 Kaliyuga Vishwamitra	1990 Kaliyuga Vishwamitra	0	2015.0	\N	107	\N
tt0420293	movie	The Stanford Prison Experiment	The Stanford Prison Experiment	0	2015.0	\N	122	Biography,Drama,History
tt0427340	movie	Masters of the Universe	Masters of the Universe	0	2026.0	\N	\N	Action,Adventure,Family
tt0427543	movie	A Million Little Pieces	A Million Little Pieces	0	2018.0	\N	113	Drama
tt0437086	movie	Alita: Battle Angel	Alita: Battle Angel	0	2019.0	\N	122	Action,Adventure,Sci-Fi
tt0439572	movie	The Flash	The Flash	0	2023.0	\N	144	Action,Adventure,Fantasy
tt0441881	movie	Danger Close	Danger Close: The Battle of Long Tan	0	2019.0	\N	118	Action,Drama,War
tt0448115	movie	Shazam!	Shazam!	0	2019.0	\N	132	Action,Adventure,Comedy
tt0451272	movie	Nefarious	Nefarious	0	2024.0	\N	85	Crime,Thriller
tt0451279	movie	Wonder Woman	Wonder Woman	0	2017.0	\N	141	Action,Adventure,Fantasy
tt0460890	movie	The Only Living Boy in New York	The Only Living Boy in New York	0	2017.0	\N	89	Drama
tt0462335	movie	High-Rise	High-Rise	0	2015.0	\N	119	Drama,Sci-Fi
tt0473100	movie	Ten Tricks	10 Tricks	0	2022.0	\N	88	Comedy,Drama
tt0475290	movie	Hail, Caesar!	Hail, Caesar!	0	2016.0	\N	106	Comedy,Drama,Mystery
tt0478970	movie	Ant-Man	Ant-Man	0	2015.0	\N	117	Action,Comedy,Sci-Fi
tt0490215	movie	Silence	Silence	0	2016.0	\N	161	Drama,History
tt0491175	movie	Suburbicon	Suburbicon	0	2017.0	\N	105	Comedy,Crime,Drama
tt0491203	movie	Tulip Fever	Tulip Fever	0	2017.0	\N	105	Drama,History,Romance
tt0493076	movie	Nina	Nina	0	2016.0	\N	90	Biography,Drama,Music
tt0493405	movie	CHIPS	CHIPS	0	2017.0	\N	100	Action,Comedy,Crime
tt0498381	movie	Rings	Rings	0	2017.0	\N	102	Drama,Horror,Mystery
tt0499097	movie	Without Remorse	Without Remorse	0	2021.0	\N	109	Action,Drama,Thriller
tt0775440	movie	Cell	Cell	0	2016.0	\N	98	Action,Adventure,Horror
tt0783640	movie	The Last Full Measure	The Last Full Measure	0	2019.0	\N	116	Drama,War
tt0787524	movie	The Man Who Knew Infinity	The Man Who Knew Infinity	0	2015.0	\N	108	Biography,Drama
tt0800325	movie	The Dirt	The Dirt	0	2019.0	\N	107	Biography,Comedy,Drama
tt0803096	movie	Warcraft	Warcraft	0	2016.0	\N	123	Action,Adventure,Fantasy
tt0805647	movie	The Witches	The Witches	0	2020.0	\N	106	Adventure,Comedy,Family
tt0810819	movie	The Danish Girl	The Danish Girl	0	2015.0	\N	119	Biography,Drama
tt0835802	movie	Krystal	Krystal	0	2017.0	\N	90	Comedy,Drama
tt0837563	movie	Pet Sematary	Pet Sematary	0	2019.0	\N	100	Horror,Mystery,Thriller
tt0858419	movie	Bolden	Bolden	0	2019.0	\N	108	Drama
tt0859635	movie	Super Troopers 2	Super Troopers 2	0	2018.0	\N	99	Comedy,Crime,Mystery
tt0870154	movie	Jungle Cruise	Jungle Cruise	0	2021.0	\N	127	Action,Adventure,Comedy
tt0884732	movie	The Wedding Ringer	The Wedding Ringer	0	2015.0	\N	101	Comedy,Romance
tt0887261	movie	Hellraiser	Hellraiser	0	2022.0	\N	121	Horror,Mystery,Thriller
tt0918940	movie	The Legend of Tarzan	The Legend of Tarzan	0	2016.0	\N	110	Action,Adventure,Drama
tt0920462	movie	Lost Girls and Love Hotels	Lost Girls and Love Hotels	0	2020.0	\N	97	Drama,Thriller
tt0972544	movie	Back Roads	Back Roads	0	2018.0	\N	101	Crime,Drama,Thriller
tt0974015	movie	Justice League	Justice League	0	2017.0	\N	120	Action,Adventure,Fantasy
tt0977643	movie	Chooriyan	Chooriyan	0	2015.0	\N	\N	Drama,Musical,Romance
tt0979902	movie	Phir Bhi Jaane Do Mitro	Phir Bhi Jaane Do Mitro	0	2020.0	\N	135	Comedy,Thriller
tt0983946	movie	Fantasy Island	Fantasy Island	0	2020.0	\N	109	Fantasy,Horror,Mystery
tt0993840	movie	Army of the Dead	Army of the Dead	0	2021.0	\N	148	Action,Adventure,Crime
tt0995854	movie	A Journal for Jordan	A Journal for Jordan	0	2021.0	\N	131	Drama,Romance,War
tt0995868	movie	Pele: Birth of a Legend	Pelé: Birth of a Legend	0	2016.0	\N	107	Biography,Drama,Sport
tt10001940	movie	Chalu Dya Tumcha	Chalu Dya Tumcha	0	2017.0	\N	125	\N
tt10002654	movie	Pattabhiraman	Pattabhiraman	0	2019.0	\N	139	Drama
tt10003008	movie	The Rental	The Rental	0	2020.0	\N	88	Drama,Horror,Mystery
tt10004074	movie	Ali the Blind Boxer	Ali the Blind Boxer	0	2019.0	\N	\N	Drama
tt10005200	movie	Where Is the Money..?	Where Is the Money..?	0	2017.0	\N	\N	Action
tt10005688	movie	Dhuntaaraa	Dhuntaaraa	0	2015.0	\N	92	Family
tt10005864	movie	Barof 2019	Barof 2019	0	2019.0	\N	101	Drama
tt10006156	movie	Krishnam	Krishnam	0	2019.0	\N	128	Drama
