tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt27868101,movie,Vadakkan,Vadakkan,0,2025,\N,112,"Fantasy,Horror,Thriller",10.0,85
tt31512788,movie,Manadarasi,Manadarasi,0,2024,\N,\N,\N,10.0,10
tt27529215,movie,Bindori,Bindori,0,2023,\N,\N,\N,10.0,9
tt16426970,movie,Ka Mon Bajwat,Ka Mon Bajwat,0,1998,\N,\N,Drama,10.0,8
tt10608516,movie,D on Dance,D on Dance,0,2019,\N,120,Drama,10.0,7
tt28803744,movie,Paradise (bunnies and flowers),Paradise (bunnies and flowers),0,2023,\N,93,Documentary,10.0,7
tt35313020,movie,Interval,Interval,0,2025,\N,\N,Comedy,10.0,5
tt35947180,movie,W/O Anirvesh,W/O Anirvesh,0,2025,\N,98,Drama,9.9,887
tt32245034,movie,The College,The College,0,1943,\N,\N,"Drama,Musical,Romance",9.9,65
tt15141270,movie,Akshi,Akshi,0,2021,\N,127,Drama,9.9,64
tt13388966,movie,A Better Life,A Better Life,0,2020,\N,92,Drama,9.9,62
tt34957111,movie,Apaayavide Eccharike,Apaayavide Eccharike,0,2025,\N,146,"Horror,Thriller",9.9,28
tt14858662,movie,Waleed,Waleed,0,2021,\N,\N,Drama,9.9,23
tt13563118,movie,Sarasate: The Spanish Spirit,Sarasate: The Spanish Spirit,0,2020,\N,53,Documentary,9.9,19
tt33703214,movie,Life of Mrudula,Life of Mrudula,0,2024,\N,130,Drama,9.9,12
tt28552918,movie,Obsolete,Bhangaar,0,2023,\N,64,Drama,9.9,11
tt28235395,movie,Dhh Lekacha,Dhh Lekacha,0,2023,\N,\N,"Drama,Family",9.9,9
tt35740455,movie,Tara - The Lost Star,Tara - The Lost Star,0,2024,\N,90,"Drama,Fantasy",9.9,8
tt35674627,movie,Bhaava Theera Yaana,Bhaava Theera Yaana,0,2025,\N,136,\N,9.8,463
tt35946578,movie,Jigel,Jigel,0,2025,\N,148,"Action,Drama,Romance",9.8,438
tt35823829,movie,Justice,Justice,0,2025,\N,\N,Drama,9.8,238
tt15465144,movie,Pyar Kiya Toh Nibhana,Pyar Kiya Toh Nibhana,0,2021,\N,142,Romance,9.8,113
tt33069316,movie,Kapati,Kapati,0,2025,\N,112,\N,9.8,111
tt27678908,movie,Dheera Samrat,Dheera Samrat,0,2024,\N,123,"Crime,Thriller",9.8,98
tt20214916,movie,Live in Relation,Live in Relation,0,2022,\N,\N,Drama,9.8,80
tt28061286,movie,Kalrav (Sound of running water),Kalrav (Sound of running water),0,2023,\N,\N,Musical,9.8,62
tt34997215,movie,Jeevan,Jeevan,0,2024,\N,\N,Drama,9.8,44
tt27562388,movie,Yug Purush Sadguru Sai Teoonram,Yug Purush Sadguru Sai Teoonram,0,2023,\N,147,Drama,9.8,34
tt27443823,movie,Hathpakda,Hathpakda,0,2023,\N,\N,Drama,9.8,28
tt18330030,movie,Bham,Bham,0,2023,\N,\N,Drama,9.8,25
tt27163202,movie,One Way,One Way,0,2023,\N,138,"Action,Drama",9.8,25
tt22643094,movie,Dastaan-E-Sirhind,Dastaan-E-Sirhind,0,2023,\N,130,History,9.8,23
tt31115226,movie,Nasoor - Let's Restart,Nasoor - Let's Restart,0,2024,\N,116,Thriller,9.8,20
tt31249168,movie,Aanganwadi,Aanganwadi,0,2024,\N,\N,Drama,9.8,20
tt21054488,movie,Rugna,Rugna,0,2022,\N,\N,Thriller,9.8,19
tt13261780,movie,Hari Singh Nalwa - Champion of the Khalsa Ji,Hari Singh Nalwa - Champion of the Khalsa Ji,0,2022,\N,\N,Biography,9.8,18
tt33384762,movie,Nirjhor,Nirjhor,0,2024,\N,\N,Drama,9.8,16
tt20860454,movie,Pinjre Ki Titliyaan,Pinjre Ki Titliyaan,0,2023,\N,90,Drama,9.8,13
tt2648188,movie,The Influence,Partav,0,2013,\N,109,"Drama,Family,Music",9.8,12
tt33021968,movie,Simharoopini,Simharoopini,0,2024,\N,125,"Drama,Thriller",9.8,12
tt33029169,movie,Daal Roti/ Bread & Butter,Daal Roti/ Bread & Butter,0,2025,\N,92,Drama,9.8,12
tt11203664,movie,Patel Vs Patrick,Patel Vs Patrick,0,2022,\N,135,Comedy,9.8,11
tt25415324,movie,Asatveera,Asatveera,0,2021,\N,127,Crime,9.8,11
tt14722464,movie,Dawat E Shaadi,Dawat E Shaadi,0,2016,\N,\N,Comedy,9.8,10
tt15614514,movie,Amche Samsar,Amche Samsar,0,2021,\N,\N,Family,9.8,10
tt4332930,movie,Tujhko Pukare,Tujhko Pukare,0,2005,\N,\N,"Action,Crime,Drama",9.8,10
tt11554586,movie,Bedhadak,Bedhadak,0,2006,\N,170,Drama,9.8,8
tt16993806,movie,Ottachodyam,Ottachodyam,0,2021,\N,\N,Biography,9.8,8
tt26742253,movie,Raashifal,Raashifal,0,2023,\N,\N,Comedy,9.8,8
tt0156768,movie,Manik Raitong,Manik Raitong,0,1984,\N,149,\N,9.8,7
tt14722072,movie,Neeli Hakki,Neeli Hakki,0,2021,\N,109,Drama,9.8,7
tt27562476,movie,Shaheed Kanwar,Shaheed Kanwar,0,2017,\N,\N,Drama,9.8,7
tt32246348,movie,Ajaan,Ajaan,0,2024,\N,\N,Thriller,9.8,7
tt20251826,movie,15 Seconds A Lifetime,15 Seconds A Lifetime,0,2022,\N,\N,Documentary,9.8,6
tt7889246,movie,Chitram Cheppina Katha,Chitram Cheppina Katha,0,2014,\N,\N,\N,9.8,6
tt14231578,movie,Duti Mon,Duti Mon,0,2011,\N,\N,Drama,9.8,5
tt28252581,movie,Mr. Rani,Mr. Rani,0,2025,\N,128,"Comedy,Drama",9.7,1540
tt5344460,movie,Mithila Makhaan,Mithila Makhaan,0,2019,\N,131,Drama,9.7,399
tt20603460,movie,India's Sons,India's Sons,0,2022,\N,90,Documentary,9.7,360
tt28363962,movie,Paramvah,Paramvah,0,2023,\N,\N,\N,9.7,205
tt31251156,movie,4N6,4N6,0,2024,\N,117,"Crime,Thriller",9.7,60
tt29625590,movie,Faction Leni Seemakatha,Faction Leni Seemakatha,0,2024,\N,\N,"Drama,Thriller",9.7,52
tt32033666,movie,Sinduraa (Odia),Sinduraa (Odia),0,2024,\N,150,Drama,9.7,51
tt27789144,movie,Darbar,Darbar,0,2023,\N,\N,\N,9.7,50
tt18358106,movie,Virinchi,Virinchi,0,2021,\N,\N,"Drama,Thriller",9.7,41
tt34710163,movie,Problem Toh Hai,Problem Toh Hai,0,2024,\N,129,Comedy,9.7,31
tt19223198,movie,Dandgi Muley,Dandgi Muley,0,2012,\N,98,Drama,9.7,29
tt30832261,movie,Useless Fellow,Useless Fellow,0,2023,\N,138,Drama,9.7,29
tt27116964,movie,Cinema by Mani Meraj,Cinema by Mani Meraj,0,2023,\N,\N,Comedy,9.7,27
tt34457940,movie,Samar,Samar,0,2024,\N,\N,"Action,Drama",9.7,20
tt32126733,movie,Dasavarenya Sri Vijaya Dasaru,Dasavarenya Sri Vijaya Dasaru,0,2024,\N,\N,Drama,9.7,18
tt13735320,movie,Navodaya Dayzz,Navodaya Dayzz,0,2018,\N,119,Drama,9.7,17
tt24633870,movie,Zha,Zha,0,2024,\N,123,Drama,9.7,16
tt27488584,movie,Deva Laksh Theva,Deva Laksh Theva,0,2023,\N,\N,Family,9.7,15
tt28892284,movie,Hu chhu Mr. Shankar,Hu chhu Mr. Shankar,0,2023,\N,\N,Biography,9.7,14
tt30278506,movie,Mothathi Kozhappa,Mothathi Kozhappa,0,2023,\N,155,"Comedy,Drama",9.7,14
tt14278086,movie,Lalka Paag,Lalka Paag,0,2015,\N,\N,Drama,9.7,10
tt16757636,movie,Redrum,Redrum,0,2022,\N,\N,"Crime,Mystery,Thriller",9.7,9
tt27617853,movie,To Let (Mausa Ghara Bhada Deba Ki),To Let (Mausa Ghara Bhada Deba Ki),0,2023,\N,150,"Comedy,Family",9.7,9
tt10073458,movie,But What Was She Wearing?,But What Was She Wearing?,0,2018,\N,110,Documentary,9.7,8
tt13243208,movie,Dieyana House,Dieyana House,0,2016,\N,115,Drama,9.7,8
tt18469774,movie,Aami O APU,Aami O APU,0,2022,\N,106,Drama,9.7,8
tt31722241,movie,Aakhreen Train: The Last Train,Aakhreen Train: The Last Train,0,2023,\N,140,Drama,9.7,8
tt21976704,movie,Pedigree,Pedigree,0,2023,\N,\N,Drama,9.7,7
tt29577119,movie,Magnum 87,Magnum 87,0,2023,\N,74,"Documentary,Sport",9.7,7
tt32484452,movie,Balya,Balya,0,2024,\N,\N,Drama,9.7,7
tt28455855,movie,Nidurinchu jahapana,Nidurinchu jahapana,0,2025,\N,118,Drama,9.6,2051
tt12119248,movie,Manmauji,Manmauji,0,2024,\N,138,Drama,9.6,734
tt23857668,movie,Monk the Young,Monk the Young,0,2025,\N,127,"Fantasy,Thriller",9.6,327
tt29553451,movie,Shoshite,Shoshite,0,2023,\N,104,Drama,9.6,264
tt28489796,movie,Aramudaitha Kombu,Aramudaitha Kombu,0,2023,\N,127,Drama,9.6,102
tt26899139,movie,Pyre,Pyre,0,2024,\N,111,Drama,9.6,98
tt23060836,movie,KambliHula,KambliHula,0,2022,\N,138,Drama,9.6,96
tt16436030,movie,Puli Vachindi Meka Chachindi,Puli Vachindi Meka Chachindi,0,2021,\N,97,Thriller,9.6,90
tt29313633,movie,Sahebs Who Never Left - Part 2: The Aftermath,Sahebs Who Never Left - Part 2: The Aftermath,0,2023,\N,50,"Documentary,History",9.6,89
tt15576596,movie,Kadhikan,Kadhikan,0,2023,\N,93,Drama,9.6,84
tt33368662,movie,Aabha,Aabha,0,2024,\N,129,Drama,9.6,84
tt26578466,movie,Oye Jassi Oye,Oye Jassi Oye,0,2023,\N,120,"Comedy,Romance,Thriller",9.6,79
tt9044540,movie,Vidyoday,Vidyoday,0,2018,\N,108,Documentary,9.6,79
tt18815714,movie,Prem Prakaran,Prem Prakaran,0,\N,\N,162,"Drama,Romance",9.6,78
tt4971262,movie,Road King,Road King,0,2023,\N,100,Drama,9.6,78
tt27907692,movie,Nindu Chandamama,Nindu Chandamama,0,2023,\N,124,Family,9.6,75
tt29607530,movie,Lucky Draw 777,Lucky Draw 777,0,2023,\N,105,Comedy,9.6,69
tt35612730,movie,Talvar,Talvar,0,2025,\N,128,\N,9.6,68
tt30484085,movie,Majnoo,Majnoo,0,2024,\N,123,Romance,9.6,60
tt23855250,movie,Shambho Shiva Shankara,Shambho Shiva Shankara,0,2022,\N,\N,"Action,Thriller",9.6,58
tt25809834,movie,Hu - Atra Tatra Sarvatra,Hu - Atra Tatra Sarvatra,0,2023,\N,\N,\N,9.6,53
tt7033932,movie,Detroit Under S.T.R.E.S.S.,Detroit Under S.T.R.E.S.S.,0,2018,\N,86,"Crime,Documentary",9.6,49
tt23039736,movie,Labour Pain - an unending saga,Labour Pain - an unending saga,0,2023,\N,90,Drama,9.6,47
tt27301253,movie,Umbrella,Umbrella,0,2023,\N,\N,Romance,9.6,47
tt15282112,movie,Bablee,Bablee,0,2023,\N,130,Romance,9.6,46
tt26345037,movie,O Katha,O Katha,0,2023,\N,\N,Drama,9.6,45
tt21995320,movie,Undocumented (Sin papeles),Undocumented (Sin papeles),0,2023,\N,\N,Drama,9.6,44
tt14402742,movie,The Shoonyah: Chapter 1 - Blow of the War Horns,The Shoonyah: Chapter 1 - Blow of the War Horns,0,2021,\N,\N,Action,9.6,43
tt20865500,movie,Vasanthi Nalidaga,Vasanthi Nalidaga,0,2022,\N,158,"Family,Musical,Romance",9.6,43
